"Time (s)","Acceleration (m/s²)"
1.843042917E-1,2.698408163E-1
2.243432917E-1,4.962765813E-2
2.643726667E-1,5.399435878E-2
3.044116667E-1,-2.911445618E-1
3.444506667E-1,-6.002815908E-1
3.845206667E-1,-8.417026001E-1
4.245596667E-1,-3.653030437E-1
4.645986667E-1,1.142066467E-1
5.046376667E-1,-1.141201079E-1
5.446766667E-1,1.184189808E-1
5.847156667E-1,9.597157842E-1
6.247546667E-1,1.174159495E0
6.647936667E-1,8.325470299E-1
7.048326667E-1,-8.731103343E-1
7.448716667E-1,-3.543085241E-1
7.849416667E-1,4.820766181E-1
8.249806667E-1,9.346394151E-1
8.650196667E-1,2.480710477E-1
9.050586667E-1,-6.671409935E-1
9.450976667E-1,1.204473799E-1
9.851366667E-1,4.532779115E-1
1.025175667E0,-9.442715335E-1
1.065214667E0,-2.265790218E-1
1.105253667E0,-3.794620764E-1
1.145323667E0,1.092476231E-1
1.185362667E0,2.848155355E-1
1.225401667E0,4.156124872E-1
1.265424458E0,-6.262525839E-1
1.305463458E0,-2.613623536E-1
1.345502458E0,-4.272636491E-1
1.385541458E0,-7.073037636E-1
1.425580458E0,-5.259371674E-1
1.465619458E0,8.269483209E-2
1.505689458E0,-1.506915182E-1
1.545728458E0,-2.614716965E-1
1.585767458E0,-3.294262826E-2
1.625806458E0,3.845672804E-1
1.665845458E0,5.332865328E-1
1.705884458E0,-2.809587121E-2
1.745923458E0,-1.519363904E-1
1.785962458E0,1.564381617E-1
1.826001458E0,-4.537556291E-2
1.866071458E0,-2.001782584E-1
1.906110458E0,-9.460093260E-2
1.946149458E0,-1.814233142E-1
1.986188458E0,-4.853884810E-1
2.026227458E0,-1.775512880E-1
2.066266458E0,1.303870618E-2
2.106305458E0,-1.429883963E-1
2.146345458E0,-1.092376828E-1
2.186384458E0,-1.380913532E-1
2.226453458E0,1.437502885E-1
2.266489083E0,-3.362119764E-1
2.306528083E0,-3.297315073E-1
2.346567083E0,1.870933592E-2
2.386606083E0,6.669918895E-3
2.426645083E0,-1.525012314E-1
2.466685083E0,-2.559794068E-2
2.506724083E0,7.192192197E-2
2.546763083E0,3.073957282E-1
2.586832083E0,-4.938558340E-2
2.626871083E0,-1.347444069E-1
2.666910083E0,1.470522112E-1
2.706949083E0,-6.234476745E-2
2.746988083E0,-1.143545812E-1
2.787028083E0,-4.392136037E-2
2.827067083E0,-2.662816161E-1
2.867106083E0,-1.691248655E-1
2.907145083E0,-3.362903291E-1
2.947214083E0,-2.191425329E-1
2.987253083E0,-3.087055045E-1
3.027292083E0,-1.655691737E-1
3.067331083E0,-1.174384028E-1
3.107371083E0,-4.969022334E-2
3.147410083E0,-1.139669108E-1
3.187449083E0,2.467525005E-2
3.227488083E0,-9.443311751E-2
3.267538708E0,-2.205903035E-1
3.307607708E0,-1.997508270E-1
3.347646708E0,-2.248020530E-2
3.387686708E0,4.343779564E-2
3.427725708E0,-4.071650147E-2
3.467764708E0,-3.203397095E-2
3.507803708E0,2.145635784E-2
3.547842708E0,2.165516317E-2
3.587881708E0,-2.282647741E-1
3.627920708E0,-1.745861650E-1
3.667959708E0,-2.908405066E-3
3.708029708E0,7.165645838E-2
3.748068708E0,-9.676966488E-2
3.788107708E0,-3.748112011E-1
3.828146708E0,-2.017306942E-1
3.868185708E0,-3.174453378E-3
3.908224708E0,1.029449093E-1
3.948263708E0,3.132528841E-2
3.988302708E0,-1.888229656E-1
4.028341708E0,-2.012202322E-2
4.068411708E0,-1.763982171E-1
4.108450708E0,-6.788208067E-2
4.148489708E0,-3.146445215E-2
4.188528708E0,-1.063883346E-1
4.228567708E0,-1.889820099E-3
4.268593042E0,-7.739491582E-2
4.308632042E0,-1.630496085E-1
4.348671042E0,-1.015544415E-2
4.388710042E0,-6.053622365E-2
4.428780042E0,8.121197820E-3
4.468819042E0,-9.081427574E-2
4.508858042E0,-2.007758439E-1
4.548897042E0,-5.623150349E-2
4.588936042E0,-5.574501514E-2
4.628975042E0,-5.613268554E-2
4.669014042E0,-8.420049012E-2
4.709053042E0,-2.713692784E-1
4.749092042E0,-4.539602816E-2
4.789162042E0,7.630090177E-2
4.829201042E0,-1.979925692E-2
4.869240042E0,-4.642806172E-2
4.909279042E0,1.421399653E-2
4.949318042E0,-2.541521519E-1
4.989357042E0,-1.877131641E-1
5.029396042E0,-1.556446946E-1
5.069435042E0,-1.636998188E-1
5.109474042E0,-4.665201008E-2
5.149544042E0,-1.962910295E-3
5.189583042E0,-8.009749889E-2
5.229622042E0,-5.448610961E-2
5.269675333E0,-1.476293314E-1
5.309714333E0,-2.627387881E-1
5.349753333E0,-1.007311535E-1
5.389792333E0,1.437450260E-1
5.429831333E0,-5.459545255E-2
5.469870333E0,-2.256557465E-1
5.509940333E0,-1.111544001E-1
5.549979333E0,-1.411026692E-1
5.590018333E0,-1.614544880E-1
5.630057333E0,-6.471347451E-2
5.670096333E0,2.383675933E-2
5.710135333E0,-1.210654306E-1
5.750174333E0,3.257483840E-3
5.790213333E0,-6.248451591E-2
5.830252333E0,3.479385674E-2
5.870291333E0,1.328662813E-2
5.910361333E0,-1.873716867E-1
5.950400333E0,-3.699942648E-2
5.990439333E0,-1.548518121E-2
6.030478333E0,-1.179710841E-1
6.070517333E0,-8.093774378E-2
6.110556333E0,-1.283177322E-1
6.150595333E0,-2.536580622E-2
6.190635333E0,-1.016105747E-1
6.230674333E0,-5.388150752E-2
6.270746417E0,4.772497416E-2
6.310785417E0,4.220812619E-2
6.350824417E0,-3.160338199E-1
6.390863417E0,-2.569880515E-1
6.430902417E0,-1.306028241E-1
6.470941417E0,1.396490514E-2
6.510981417E0,-1.566118240E-2
6.551020417E0,7.001572967E-2
6.591059417E0,1.161350584E-1
6.631128417E0,2.420688808E-2
6.671167417E0,-7.764634609E-2
6.711206417E0,-2.543591434E-1
6.751245417E0,-2.970256913E-1
6.791284417E0,-5.436799586E-2
6.831324417E0,-6.678689718E-3
6.871363417E0,-9.170948446E-2
6.911402417E0,-1.614848936E-1
6.951441417E0,-3.496401072E-2
6.991510417E0,-1.171717697E-1
7.031549417E0,-2.036468267E-1
7.071588417E0,-3.623227179E-2
7.111627417E0,6.623492002E-2
7.151667417E0,-6.135015607E-2
7.191706417E0,-1.756228763E-1
7.231745417E0,-1.038599986E-1
7.271766083E0,-7.829714119E-2
7.311805083E0,-1.163110596E-1
7.351874083E0,1.404296547E-1
7.391913083E0,-1.552090770E-1
7.431953083E0,5.812190831E-2
7.471992083E0,-1.880546415E-1
7.512031083E0,-1.343000185E-1
7.552070083E0,-7.315802336E-2
7.592109083E0,-1.847094494E-1
7.632148083E0,-1.500489092E-1
7.672187083E0,-8.437532187E-3
7.712256083E0,-4.244786203E-2
7.752296083E0,2.698256135E-2
7.792335083E0,-1.435912442E-1
7.832374083E0,-9.958451450E-2
7.872413083E0,-1.542934030E-1
7.912452083E0,-2.155593592E-1
7.952491083E0,-9.461964369E-3
7.992530083E0,-1.262940109E-2
8.032569083E0,-3.054585457E-2
8.072639083E0,-1.131436229E-1
8.112678083E0,-1.551470965E-1
8.152717083E0,-9.085696042E-2
8.192756083E0,-8.164467216E-2
8.232795083E0,-6.719854116E-2
8.272853083E0,-3.412668943E-2
8.312892083E0,-7.982852697E-2
8.352931083E0,-1.777056545E-1
8.392970083E0,-2.612150037E-1
8.433040083E0,-1.232645684E-1
8.473079083E0,-7.170440555E-3
8.513118083E0,2.649057662E-1
8.553157083E0,2.029995400E-1
8.593196083E0,-1.415973437E-1
8.633235083E0,-3.320686394E-1
8.673274083E0,-8.643354177E-2
8.713313083E0,2.171071172E-3
8.753352083E0,-1.714315921E-1
8.793391083E0,-7.777966261E-2
8.833461083E0,-1.953086972E-2
8.873500083E0,-1.102872580E-1
8.913539083E0,-1.908367467E-1
8.953578083E0,-9.501257658E-2
8.993617083E0,-3.726489007E-2
9.033656083E0,5.038019478E-2
9.073695083E0,-2.859814703E-2
9.113734083E0,-7.291068614E-2
9.153773083E0,-1.411289817E-1
9.193843083E0,-2.066347539E-1
9.233882083E0,-1.606265223E-1
9.273920208E0,-5.542692661E-2
9.313959208E0,-4.265485346E-2
9.353998208E0,-1.872863173E-1
9.394037208E0,-1.342719519E-1
9.434076208E0,4.682567239E-2
9.474115208E0,-1.932773745E-1
9.514154208E0,-8.217326045E-2
9.554224208E0,-1.834476203E-1
