"Time (s)","Acceleration (m/s²)"
3.452408337E-2,-1.058624361E0
7.457508333E-2,-1.948058367E0
1.146250835E-1,1.744025624E-1
1.546760835E-1,-5.153092682E-1
1.947270834E-1,-2.614640951E0
2.347780834E-1,5.729512371E0
2.748290834E-1,3.580951810E0
3.148800835E-1,2.732339555E-1
3.549300835E-1,5.127242142E-1
3.949810835E-1,1.351925960E0
4.350320834E-1,-4.827554798E-1
4.750830834E-1,-5.728692591E-2
5.151340833E-1,3.729886240E-1
5.551850835E-1,8.236399662E-1
5.952360835E-1,6.655259925E-1
6.352870835E-1,-6.503156304E-2
6.753370834E-1,-6.845955169E-1
7.153880834E-1,5.440074027E-1
7.554390833E-1,-1.168384784E-1
7.954900835E-1,4.155382276E-2
8.355410835E-1,-3.910033107E-1
8.755920834E-1,3.126424933E0
9.156430834E-1,-5.747017765E-1
9.556930833E-1,-9.331091988E-1
9.957440835E-1,-1.864501655E-2
1.035794458E0,-3.653135687E-1
1.075845459E0,-9.559378982E-2
1.115896459E0,-5.369135606E-1
1.155947458E0,-4.226285613E-1
1.195998458E0,-2.886261660E-1
1.236049458E0,1.504161143E-1
1.276099458E0,6.877904356E-2
1.316150459E0,8.522129703E-1
1.356201458E0,-3.272002476E-1
1.396252458E0,-1.257338476E-1
1.436303458E0,6.519586980E-2
1.476354458E0,-1.400998718E-1
1.516405458E0,-2.761125398E-1
1.556456459E0,6.178928196E-2
1.596506458E0,-2.225263166E-1
1.636557458E0,-4.094805121E-2
1.676608458E0,6.074327356E-1
1.716659458E0,3.586079818E-1
1.756710459E0,-1.142961091E-1
1.796761459E0,-9.658559453E-1
1.836812458E0,-3.933357650E-1
1.876863458E0,-7.474016297E-1
1.916914458E0,1.385401855E0
1.956965458E0,4.283073771E-1
1.997015459E0,-1.906870580E-1
2.037067708E0,-9.929478496E-1
2.077118709E0,-7.423098743E-1
2.117169708E0,-4.538217026E-1
2.157220708E0,1.229359549E-1
2.197271708E0,1.627422203E0
2.237322708E0,2.412607956E-1
2.277373708E0,1.009689597E0
